NeighbourhoodId,Neighbourhood,TotalArea,TotalPopulation,LocalEmployment,LowIncomeFamilies,LowIncomeSingles,Assaults,SexualAssaults,BreakEnters,Robberies,VehicleThefts,Thefts,Murders,Arsons
1,West Humber-Clairville,30.09,32265,63385,7720,725,272,21,193,85,341,42,1,4
2,Mount Olive-Silverstone-Jamestown,4.6,32130,3346,7715,1177,269,23,88,80,113,6,0,0
3,Thistletown-Beaumond Heights,3.4,9925,1350,2520,305,66,5,30,23,16,2,0,0
4,Rexdale-Kipling,2.5,10725,1190,2780,653,49,6,28,16,25,0,0,0
5,Elms-Old Rexdale,2.9,9440,831,2560,255,49,3,22,26,17,2,0,2
6,Kingsview Village-The Westway,5.1,21395,3301,5760,792,111,9,33,22,47,2,0,2
7,Willowridge-Martingrove-Richview,5.5,20920,1865,5975,617,86,12,45,14,70,3,0,3
8,Humber Heights-Westmount,2.8,10525,741,2750,634,35,4,22,13,21,2,0,1
9,Edenbridge-Humber Valley,5.5,14450,1473,4055,468,48,3,49,5,33,4,0,0
10,Princess-Rosethorn,5.2,10965,1270,3140,131,18,1,34,17,16,4,0,0
11,Eringate-Centennial-West Deane,8.6,18535,3505,5285,484,59,2,22,14,24,0,1,2
12,Markland Wood,2.9,10240,1659,2970,332,24,5,24,18,13,1,0,1
13,Etobicoke West Mall,1.7,10680,3541,2860,405,63,6,23,11,15,2,1,0
14,Islington-City Centre West,16.4,32815,52812,8990,1616,222,22,132,55,169,31,0,0
15,Kingsway South,2.6,8790,2142,2535,196,18,3,28,11,11,4,0,0
16,Stonegate-Queensway,7.9,23815,6029,6890,994,105,4,97,20,47,11,0,2
17,Mimico,6.9,24965,11586,6690,2374,170,12,83,26,47,11,0,5
18,New Toronto,3.5,10655,4398,2800,1103,146,6,49,20,17,4,1,3
19,Long Branch,2.3,9625,1546,2655,678,88,4,36,14,12,4,0,1
20,Alderwood,5,11655,5432,3300,457,53,6,34,12,30,2,3,0
21,Humber Summit,7.9,12770,18426,3290,319,104,5,68,19,103,13,1,5
22,Humbermede,4.4,14780,6247,3795,611,121,6,52,32,72,10,0,1
23,Pelmo Park-Humberlea,4.2,8725,2430,2350,313,49,6,18,24,37,4,1,0
24,Black Creek,3.4,21715,4199,5430,1422,237,19,51,30,64,4,2,1
25,Glenfield-Jane Heights,5.2,30880,8455,7965,1594,307,33,89,60,95,9,0,0
26,Downsview-Roding-CFB,14.9,32010,19053,8770,1577,354,26,147,58,179,19,2,2
27,York University Heights,13.2,26140,39667,6665,2275,273,28,186,73,207,26,0,4
28,Rustic,2.1,10040,504,2760,573,84,5,20,23,28,3,0,1
29,Maple Leaf,2.5,10270,668,2770,428,40,2,16,10,40,0,0,0
30,Brookhaven-Amesbury,3.5,17325,4713,4695,766,129,13,73,23,63,6,0,1
31,Yorkdale-Glen Park,5.9,14825,26409,3815,942,151,8,65,66,151,19,1,2
32,Englemount-Lawrence,3.6,21125,3343,4945,1560,106,5,35,50,51,6,0,0
33,Clanton Park,4.2,13735,5150,3630,955,74,6,56,24,87,10,2,0
34,Bathurst Manor,4.8,14945,3453,3975,1142,51,6,54,3,36,2,0,2
35,Westminster-Branson,3.7,24395,3435,6935,1636,88,11,26,14,42,3,0,4
36,Newtonbrook West,4.7,20485,9170,5765,1204,136,16,69,47,141,10,0,1
37,Willowdale West,2.9,12520,5466,3455,947,81,9,24,12,7,3,0,1
38,Lansing-Westgate,5.4,14440,11338,4025,1003,56,8,25,7,27,6,0,1
39,Bedford Park-Nortown,5.5,21960,7286,5650,1106,50,6,80,15,43,13,0,0
40,St.Andrew-Windfields,7.3,17555,14376,4865,416,64,7,87,13,25,8,0,2
