NeighbourhoodId,Neighbourhood,TotalArea,TotalPopulation,LabourForceCategory,InLabourForce,Unemployed,NotInLabourForce,LowIncomeFamilies,LowIncomePopulation,Assaults,SexualAssaults,BreakEnters,Robberies,VehicleThefts,Thefts,Murders,Arsons
1,West Humber-Clairville,30.09,33312,27365,17610,1750,9755,3790,7590,259,31,131,82,316,38,3,2
2,Mount Olive-Silverstone-Jamestown,4.6,32954,24980,14655,2175,10320,5010,11540,213,16,34,81,42,3,1,1
3,Thistletown-Beaumond Heights,3.4,10360,8135,4825,530,3315,1080,2350,35,3,23,12,13,1,0,0
4,Rexdale-Kipling,2.5,10529,8600,5270,590,3330,1110,2170,57,5,16,15,22,0,0,1
5,Elms-Old Rexdale,2.9,9456,7495,4640,575,2850,1190,2790,53,2,9,14,16,0,0,0
6,Kingsview Village-The Westway,5.1,22000,17255,9855,920,7400,2800,6760,110,6,34,22,42,5,2,2
7,Willowridge-Martingrove-Richview,5.5,22156,17920,10190,835,7730,1610,3490,88,6,32,38,48,4,0,0
8,Humber Heights-Westmount,2.8,10948,8250,4885,405,3365,820,1780,25,0,24,8,17,4,1,2
9,Edenbridge-Humber Valley,5.5,15535,12655,7880,635,4770,900,1660,26,6,46,3,29,1,0,0
10,Princess-Rosethorn,5.2,11051,9440,6005,425,3435,460,950,25,6,33,20,24,3,1,0
11,Eringate-Centennial-West Deane,8.6,18588,16000,9635,735,6370,1060,2130,52,5,28,15,29,5,0,1
12,Markland Wood,2.9,10554,9070,5440,450,3630,510,990,23,1,18,8,13,2,0,0
13,Etobicoke West Mall,1.7,11848,8675,5530,555,3150,980,2020,40,3,13,3,15,0,1,1
14,Islington-City Centre West,16.4,43965,32325,21295,1565,11025,6140,11590,186,27,104,33,134,37,0,4
15,Kingsway South,2.6,9271,7360,4865,295,2495,260,470,24,2,27,8,9,1,0,1
16,Stonegate-Queensway,7.9,25051,20575,13650,1095,6925,1740,3080,66,3,50,12,12,5,0,1
17,Mimico,6.9,33964,23425,16325,1195,7105,2720,4390,206,17,47,8,33,14,1,1
18,New Toronto,3.5,11463,9190,5880,520,3315,1430,2410,82,13,41,15,11,6,1,0
19,Long Branch,2.3,10084,8280,5870,505,2410,940,1520,48,2,28,6,14,0,0,0
20,Alderwood,5,12054,10210,6735,500,3470,640,1090,31,1,26,8,18,8,0,1
21,Humber Summit,7.9,12416,10255,5800,645,4450,1570,3330,91,8,39,19,61,18,0,3
22,Humbermede,4.4,15545,12665,7845,1030,4825,1860,4030,94,9,23,22,44,1,1,0
23,Pelmo Park-Humberlea,4.2,10722,7105,4505,440,2605,710,1430,50,3,24,10,24,4,1,0
24,Black Creek,3.4,21737,16905,9585,1300,7320,3680,7940,198,18,27,28,53,5,1,0
25,Glenfield-Jane Heights,5.2,30491,24320,13075,1755,11245,4420,9610,247,24,28,59,63,11,1,5
26,Downsview-Roding-CFB,14.9,35052,28610,17550,1760,11065,4060,7750,311,26,53,49,88,10,1,6
27,York University Heights,13.2,27593,22875,13590,1545,9285,4490,7950,288,27,96,57,106,33,2,3
28,Rustic,2.1,9941,7630,4170,605,3465,1340,2980,46,5,15,6,8,3,0,0
29,Maple Leaf,2.5,10111,8260,5205,360,3055,880,1770,32,1,17,4,14,0,0,1
30,Brookhaven-Amesbury,3.5,17757,13975,8695,835,5280,2320,4780,91,9,31,25,29,3,0,1
31,Yorkdale-Glen Park,5.9,14804,11640,6950,710,4690,1470,2850,139,15,64,19,41,23,1,0
32,Englemount-Lawrence,3.6,22372,16445,9705,735,6745,2470,5360,111,4,59,42,22,7,0,0
33,Clanton Park,4.2,16472,11975,8165,610,3810,1410,2560,57,10,41,7,49,5,1,1
34,Bathurst Manor,4.8,15873,12825,8050,625,4775,1440,2620,56,2,34,8,24,4,0,0
35,Westminster-Branson,3.7,26274,21780,13480,1240,8300,3500,6540,108,7,19,9,24,6,0,2
36,Newtonbrook West,4.7,23831,19995,12080,1175,7915,3480,6690,120,8,55,14,47,7,0,1
37,Willowdale West,2.9,16936,13210,7715,490,5500,1670,3050,73,6,35,14,12,2,0,1
38,Lansing-Westgate,5.4,16164,12270,8210,655,4055,7560,12430,63,7,42,8,27,7,0,2
39,Bedford Park-Nortown,5.5,23236,18220,11680,735,6540,1340,2440,30,4,100,12,30,9,0,1
40,St.Andrew-Windfields,7.3,17812,15260,9610,810,5650,1590,3350,44,6,57,10,10,4,0,2
41,Bridle Path-Sunnybrook-York Mills,8.8,9266,7195,4275,245,2920,460,810,18,5,51,1,12,3,0,0
42,Banbury-Don Mills,10,27695,22855,14005,985,8850,2000,3790,68,7,55,12,6,9,0,1
43,Victoria Village,4.7,17510,14125,8450,915,5680,2040,4320,111,6,19,10,20,4,2,1
44,Flemingdon Park,2.5,21933,17710,10370,1585,7335,3290,7800,123,5,14,19,5,3,0,0
45,Parkwoods-Donalda,7.5,34805,28465,18490,2070,9975,3370,7200,141,9,45,25,24,3,0,0
